S_d, S_n, Mask Mean FA, AUC, Theta 1 Mask Mean, Theta 1 Mask Std, Phi 1 Mask Mean, Phi 1 Mask Std, Theta 2 Mask Mean, Theta 2 Mask Std, Phi 2 Mask Mean, Phi 2 Mask Std, npeaks, Mask Fraction
2.500000, 1.666667, 0.620001, 0.564297, 1.4029539823532104, 0.7240901589393616, 2.9556548595428467, 2.2115740776062012,0.5740467905998230, 0.6846930384635925, 3.0417268276214600, 1.9114047288894653,5.00, 0.1515866229508197
2.500000, 2.500000, 0.600644, 0.686265, 1.4773230552673340, 0.6865007281303406, 3.1549916267395020, 2.2589254379272461,0.3478556871414185, 0.5525537133216858, 2.9359209537506104, 1.9419299364089966,5.00, 0.1515866229508197
2.500000, 3.333333, 0.559356, 0.766400, 1.4971698522567749, 0.6453154683113098, 3.3578586578369141, 2.2198481559753418,0.2602610886096954, 0.4405322372913361, 2.7868428230285645, 1.9661279916763306,7.00, 0.1515866229508197
2.500000, 4.166667, 0.506429, 0.800244, 1.4853211641311646, 0.6237703561782837, 3.4927780628204346, 2.1536910533905029,0.2026165574789047, 0.3031443655490875, 2.5969533920288086, 1.9978076219558716,6.00, 0.1515866229508197
2.500000, 5.000000, 0.455722, 0.807983, 1.4923416376113892, 0.6072338819503784, 3.6227767467498779, 2.1186301708221436,0.1857416033744812, 0.2151872366666794, 2.3421990871429443, 1.9742552042007446,6.00, 0.1515866229508197
2.500000, 5.833333, 0.411538, 0.803140, 1.5146471261978149, 0.5965053439140320, 3.7744104862213135, 2.0996809005737305,0.1873947232961655, 0.1581662148237228, 2.1069049835205078, 1.9056348800659180,6.00, 0.1515866229508197
2.500000, 6.666667, 0.373850, 0.790569, 1.5334242582321167, 0.5909520387649536, 3.9216260910034180, 2.0755574703216553,0.1984059959650040, 0.1245800927281380, 1.8750085830688477, 1.7950702905654907,5.00, 0.1515866229508197
2.500000, 7.500000, 0.341720, 0.772788, 1.5440152883529663, 0.5904844403266907, 4.0695285797119141, 2.0391676425933838,0.2160961180925369, 0.1162554323673248, 1.6895205974578857, 1.6796133518218994,5.00, 0.1515866229508197
2.500000, 8.333333, 0.314190, 0.750896, 1.5440533161163330, 0.5964038372039795, 4.1788949966430664, 2.0000505447387695,0.2369886338710785, 0.1149189472198486, 1.5491982698440552, 1.5726413726806641,4.00, 0.1515866229508197
2.500000, 9.166667, 0.290527, 0.725632, 1.5478397607803345, 0.6106975078582764, 4.2897472381591797, 1.9530813694000244,0.2592688500881195, 0.1131321340799332, 1.4391176700592041, 1.4700497388839722,4.00, 0.1515866229508197
