S_d, S_n, Mask Mean FA, AUC, Theta Mask Mean, Theta Mask Std, Phi Mask Mean, Phi Mask Std, npeaks, Mask Fraction
3.333333, 13.333333, 0.264746, 0.642338, 1.4366699457168579, 0.2119317501783371, 3.8194100856781006, 2.7099568843841553,1.00, 0.2608524590163934
3.333333, 14.166667, 0.255189, 0.615745, 1.4216121435165405, 0.2183385491371155, 3.8132381439208984, 2.7312438488006592,1.00, 0.2608524590163934
3.333333, 15.000000, 0.247145, 0.590953, 1.4087463617324829, 0.2252590358257294, 3.7812991142272949, 2.7533469200134277,1.00, 0.2608524590163934
3.333333, 15.833333, 0.240380, 0.568742, 1.3985953330993652, 0.2331424355506897, 3.7312829494476318, 2.7723193168640137,1.00, 0.2608524590163934
3.333333, 16.666667, 0.234683, 0.549576, 1.3890334367752075, 0.2404660731554031, 3.6684236526489258, 2.7926423549652100,1.00, 0.2608524590163934
4.166667, 0.833333, 0.811523, 0.519610, 1.4901590347290039, 0.5929722785949707, 2.7090332508087158, 2.2471973896026611,3.00, 0.2608524590163934
4.166667, 1.666667, 0.764403, 0.637927, 1.5185494422912598, 0.4740040600299835, 2.8514597415924072, 2.5602252483367920,3.00, 0.2608524590163934
4.166667, 2.500000, 0.742540, 0.722420, 1.5414490699768066, 0.3610128164291382, 2.9747116565704346, 2.7716398239135742,1.00, 0.2608524590163934
4.166667, 3.333333, 0.706857, 0.772826, 1.5497889518737793, 0.3048498034477234, 3.0209379196166992, 2.8415102958679199,1.00, 0.2608524590163934
4.166667, 4.166667, 0.655689, 0.794576, 1.5494085550308228, 0.2540462017059326, 3.1162006855010986, 2.8848354816436768,1.00, 0.2608524590163934
4.166667, 5.000000, 0.599245, 0.799237, 1.5446077585220337, 0.2058481276035309, 3.2364213466644287, 2.9114913940429688,1.00, 0.2608524590163934
4.166667, 5.833333, 0.545744, 0.797912, 1.5402305126190186, 0.1696486771106720, 3.3414208889007568, 2.9166705608367920,1.00, 0.2608524590163934
4.166667, 6.666667, 0.499111, 0.794891, 1.5345908403396606, 0.1507011055946350, 3.4297978878021240, 2.8998951911926270,1.00, 0.2608524590163934
