S_d, S_n, Mean, Max, Mask Mean, Mask Max, Inv Mask Mean, Inv Mask Max, AUC
2.50, 1.67, 0.758, 0.996, 0.839, 0.995, 0.736, 0.996, 0.714
2.50, 2.08, 0.692, 0.991, 0.796, 0.991, 0.664, 0.990, 0.738
2.50, 2.50, 0.635, 0.985, 0.756, 0.985, 0.603, 0.984, 0.754
2.50, 2.92, 0.589, 0.978, 0.720, 0.977, 0.554, 0.978, 0.764
2.50, 3.33, 0.551, 0.970, 0.687, 0.970, 0.515, 0.969, 0.768
2.50, 3.75, 0.520, 0.966, 0.657, 0.966, 0.483, 0.960, 0.769
2.50, 4.17, 0.494, 0.962, 0.630, 0.962, 0.458, 0.949, 0.769
2.50, 4.58, 0.472, 0.957, 0.606, 0.957, 0.437, 0.936, 0.769
2.50, 5.00, 0.454, 0.952, 0.584, 0.952, 0.420, 0.923, 0.768
2.50, 5.42, 0.438, 0.946, 0.564, 0.946, 0.405, 0.907, 0.766
2.50, 5.83, 0.425, 0.940, 0.546, 0.940, 0.393, 0.891, 0.765
2.50, 6.25, 0.413, 0.933, 0.530, 0.933, 0.382, 0.880, 0.763
2.50, 6.67, 0.403, 0.926, 0.515, 0.926, 0.373, 0.868, 0.761
2.50, 7.08, 0.394, 0.920, 0.501, 0.920, 0.365, 0.857, 0.759
2.50, 7.50, 0.385, 0.913, 0.488, 0.913, 0.358, 0.845, 0.756
2.50, 7.92, 0.378, 0.906, 0.476, 0.906, 0.352, 0.840, 0.753
2.50, 8.33, 0.371, 0.900, 0.465, 0.900, 0.346, 0.836, 0.750
2.92, 0.42, 0.983, 1.000, 0.988, 1.000, 0.982, 1.000, 0.642
2.92, 0.83, 0.922, 1.000, 0.948, 1.000, 0.915, 1.000, 0.658
2.92, 1.25, 0.864, 0.999, 0.910, 0.999, 0.852, 0.999, 0.678
2.92, 1.67, 0.806, 0.998, 0.874, 0.998, 0.788, 0.997, 0.699
2.92, 2.08, 0.751, 0.995, 0.838, 0.995, 0.728, 0.994, 0.718
2.92, 2.50, 0.702, 0.991, 0.804, 0.991, 0.675, 0.989, 0.731
2.92, 2.92, 0.659, 0.986, 0.771, 0.986, 0.629, 0.984, 0.740
2.92, 3.33, 0.623, 0.981, 0.742, 0.981, 0.591, 0.978, 0.744
2.92, 3.75, 0.592, 0.975, 0.714, 0.975, 0.560, 0.971, 0.746
2.92, 4.17, 0.566, 0.967, 0.689, 0.967, 0.533, 0.962, 0.746
2.92, 4.58, 0.544, 0.963, 0.666, 0.963, 0.512, 0.953, 0.746
2.92, 5.00, 0.526, 0.958, 0.646, 0.958, 0.494, 0.945, 0.745
2.92, 5.42, 0.510, 0.953, 0.627, 0.953, 0.478, 0.935, 0.744
2.92, 5.83, 0.496, 0.947, 0.610, 0.947, 0.465, 0.923, 0.743
2.92, 6.25, 0.483, 0.941, 0.594, 0.941, 0.454, 0.909, 0.742
2.92, 6.67, 0.473, 0.935, 0.580, 0.935, 0.444, 0.894, 0.741
2.92, 7.08, 0.463, 0.929, 0.567, 0.929, 0.436, 0.877, 0.740
